"Sponsor Name","Town/City","Additional Locations","Sponsor Type","Status","Route","Immigration Compliance"
"Ampleforth Abbey and College","York",,"Independent school","Student Sponsor","Child Student",
"Ampleforth Abbey and College","York",,"Independent school","Student Sponsor","Student",
"Anglia Ruskin University","Chelmsford","Cambridge Ruskin International College (Embedded College)","Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Anglo American Educational Services","London",,"Private provider","Student Sponsor","Student",
"Anglo Chinese School of London Limited","London",,"Independent school","Student Sponsor","Child Student",
"Anglo Skills College","Nottingham",,"Private provider","Student Sponsor","Student",
"Appleford School","Salisbury",,"Independent school","Probationary Sponsor","Child Student",
"Arcadia University","Holborn",,"Overseas Higher Education Institution","Student Sponsor","Student",
"Architectural Association School of Architecture","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Arden University","Coventry",,"Higher Education Institution (HEI)","Student Sponsor","Student",
"Ardingly College","Haywards Heath",,"Independent school","Student Sponsor","Child Student",
"Ardingly College","Haywards Heath",,"Independent school","Student Sponsor","Student",
"ARDVRECK SCHOOL LTD","CRIEFF",,"Independent school","Student Sponsor","Child Student",
"Arts Educational School London","London",,"Independent school","Student Sponsor - Track Record","Child Student",
"Arts Educational School London","London",,"Independent school","Student Sponsor - Track Record","Student",
"Arts University Bournemouth","Poole",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Arts University Plymouth","Plymouth",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Ashbourne College","London",,"Independent school","Student Sponsor","Child Student",
"Ashbourne College","London",,"Independent school","Student Sponsor","Student",
"Ashford School","Ashford",,"Independent school","Student Sponsor","Child Student",
"Ashford School","Ashford",,"Independent school","Student Sponsor","Student",
"Ashridge (Bonar Law Memorial) Trust","Berkhamsted",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Ashville College","Harrogate",,"Independent school","Student Sponsor","Child Student",
"Ashville College","Harrogate",,"Independent school","Student Sponsor","Student",
"ASKHAM BRYAN COLLEGE","YORK",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Aspris Children's Services Limited","London",,"Private provider","Probationary Sponsor","Child Student",
"Aspris Children's Services Limited","London",,"Private provider","Probationary Sponsor","Student",
"Association of Baptist Churches in Ireland","Moira",,"Higher Education Institution (HEI)","Student Sponsor","Student",
"Aston University","Birmingham",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Auckland College","Liverpool",,"Independent school","Student Sponsor","Child Student",
"Auckland College","Liverpool",,"Independent school","Student Sponsor","Student",
"Austin Friars & St Monica's Preparatory School Ltd","Carlisle",,"Independent school","Student Sponsor","Child Student",
"Aysgarth School Trust Ltd","Bedale",,"Independent school","Student Sponsor","Child Student",
"Babington House School Limited","Chislehurst",,"Independent school","Student Sponsor","Child Student",
"Babington House School Limited","Chislehurst",,"Independent school","Student Sponsor","Student",
"Bablake and King Henry VIII School","Coventry",,"Independent school","Student Sponsor","Child Student",
"Bablake and King Henry VIII School","Coventry",,"Independent school","Student Sponsor","Student",
"Bader College","Hailsham",,"Overseas Higher Education Institution","Student Sponsor","Student",
"Badminton School","BRISTOL",,"Independent school","Student Sponsor","Child Student",
"Badminton School","BRISTOL",,"Independent school","Student Sponsor","Student",
"Bales College","London",,"Independent school","Student Sponsor","Child Student",
"Bales College","London",,"Independent school","Student Sponsor","Student",
"Bangor University","Various","Bangor University International College (Embedded College)","Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Barnard Castle School","Barnard Castle",,"Independent school","Student Sponsor","Child Student",
"Barnard Castle School","Barnard Castle",,"Independent school","Student Sponsor","Student",
"Barnardiston Hall Preparatory School","Nr Haverhill",,"Independent school","Student Sponsor","Child Student",
"Barnet and Southgate College","Herts",,"Publicly funded college","Student Sponsor","Student",
"BAS (School) Ltd","Battle",,"Independent school","Student Sponsor","Child Student",
"BAS (School) Ltd","Battle",,"Independent school","Student Sponsor","Student",
"Basil Paterson Middle School","Edinburgh",,"Independent school","Student Sponsor","Child Student",
"Basingstoke College of Technology","Basingstoke",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Bath Academy","Bath",,"Independent school","Student Sponsor","Child Student",
"Bath Academy","Bath",,"Independent school","Student Sponsor","Student",
"Bath College","Bath",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Bath Spa University","Bath","Bath Spa University (Embedded College)","Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"BCNO Ltd","London",,"Private provider","Student Sponsor - Track Record","Student",
"Beaudesert Park School Trust Limited","Stroud",,"Independent school","Probationary Sponsor","Child Student",
"Bedales School","Petersfield",,"Independent school","Student Sponsor","Child Student",
"Bedales School","Petersfield",,"Independent school","Student Sponsor","Student",
"Bedford School","Bedford",,"Independent school","Student Sponsor","Child Student",
"Bedford School","Bedford",,"Independent school","Student Sponsor","Student",
"Bedstone College","Bucknell,",,"Independent school","Student Sponsor","Child Student",
"Bedstone College","Bucknell",,"Independent school","Student Sponsor","Student",
"Beech Grove School","Nonington",,"Independent school","Student Sponsor","Child Student",
"Beechwood School Limited","Tunbridge Wells",,"Independent school","Student Sponsor","Child Student",
"Beechwood School Limited","Tunbridge Wells",,"Independent school","Student Sponsor","Student",
"Beehive Preparatory School","Ilford",,"Independent school","Student Sponsor","Child Student",
"Beeston Hall School Trust Ltd.","Cromer",,"Independent school","Student Sponsor","Child Student",
"Beis Soroh Schenierer Seminary","Manchester",,"Private provider","Student Sponsor","Student",
"Belfast Bible College","Belfast",,"Private provider","Student Sponsor - Track Record","Student",
"Belfast Metropolitan College","Belfast",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Belhaven Hill School Trust Limited","Dunbar",,"Independent school","Student Sponsor","Child Student",
"Bell Educational Trust Ltd.","Cambridge",,"Private provider","Student Sponsor","Student",
"Benenden School","Cranbrook",,"Independent school","Student Sponsor","Child Student",
"Benenden School","Cranbrook",,"Independent school","Student Sponsor","Student",
"Berkhamsted School","Berkhamsted",,"Independent school","Student Sponsor","Child Student",
"Berkhamsted School","Berkhamsted",,"Independent school","Student Sponsor","Student",
"Beth Midrash Lemoroth  - Jewish Teachers Training College","Gateshead",,"Private provider","Student Sponsor","Student",
"Bethany School Ltd","Tonbridge",,"Independent school","Student Sponsor","Child Student",
"Bethany School Ltd","Tonbridge",,"Independent school","Student Sponsor","Student",
"Bexhill College","Bexhill-on-sea",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Bilton Grange School","Rugby",,"Independent school","Student Sponsor","Child Student",
"BIMM University","Various","Bristol / Hove / London / Manchester","Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Birkbeck College, University of London","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"BIRKDALE SCHOOL","SHEFFIELD",,"Independent school","Student Sponsor","Child Student",
"BIRKDALE SCHOOL","SHEFFIELD",,"Independent school","Student Sponsor","Student",
"Birkenhead School","Birkenhead",,"Independent school","Student Sponsor","Child Student",
"Birkenhead School","Birkenhead",,"Independent school","Student Sponsor","Student",
"Birmingham City University","Birmingham","Birmingham City University International College (Embedded College)","Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Bishop Burton College","Beverley",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Bishop Grosseteste University","Lincoln",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Bishopstrow College Limited","Warminster",,"Independent school","Student Sponsor","Child Student",
"Blackheath High School GDST","London",,"Independent school","Student Sponsor","Child Student",
"Blackheath High School GDST","London",,"Independent school","Student Sponsor","Student",
"Blackpool and The Fylde College","Blackpool",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Bloxham School","Banbury",,"Independent school","Student Sponsor","Child Student",
"Blundell's","Tiverton",,"Independent school","Student Sponsor","Child Student",
"Blundell's","Tiverton",,"Independent school","Student Sponsor","Student",
"Bodywork Company Cambridge Limited","Cambridge",,"Private provider","Student Sponsor","Student",
"Bolton School","Bolton",,"Independent school","Student Sponsor","Child Student",
"Bolton School","Bolton",,"Independent school","Student Sponsor","Student",
"Bootham School","York",,"Independent school","Student Sponsor","Child Student",
"Bootham School","York",,"Independent school","Student Sponsor","Student",
"Boston University London Programme","London",,"Overseas Higher Education Institution","Student Sponsor","Student",
"Bosworth Independent School","Northampton",,"Independent school","Student Sponsor","Child Student",
"Bosworth Independent School","Northampton",,"Independent school","Student Sponsor","Student",
"Bournemouth Montessori Centre","Bournemouth",,"Private provider","Student Sponsor","Student",
"Bournemouth University International College","Bournemouth",,"Embedded college offering pathway courses","Student Sponsor - Track Record","Student",
"Bournemouth University","Poole",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Box Hill School Trust Ltd","Dorking",,"Independent school","Student Sponsor","Child Student",
"Box Hill School Trust Ltd","Dorking",,"Independent school","Student Sponsor","Student",
"BPP University Limited","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Bradfield College","Reading",,"Independent school","Student Sponsor","Child Student",
"Bradfield College","Reading",,"Independent school","Student Sponsor","Student",
"Bradford Grammar School","Bradford",,"Independent school","Probationary Sponsor","Child Student",
"Brambletye School Trust Limited","East Grinstead",,"Independent school","Student Sponsor","Child Student",
"Brampton College","London",,"Independent school","Student Sponsor","Child Student",
"Brampton College","London",,"Independent school","Student Sponsor","Student",
"Bredon School Limited","Tewkesbury",,"Independent school","Student Sponsor","Child Student",
"Bredon School Limited","Tewkesbury",,"Independent school","Student Sponsor","Student",
"Brentwood School","Brentwood",,"Independent school","Student Sponsor","Child Student",
"Brentwood School","Brentwood",,"Independent school","Student Sponsor","Student",
"Bridgewater School","Manchester",,"Independent school","Student Sponsor","Child Student",
"Bridgewater School","Manchester",,"Independent school","Student Sponsor","Student",
"Bridgwater and Taunton College","Bridgwater",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Bright Scholar (BCS) Management Limited","Bournemouth",,"Independent school","Student Sponsor","Child Student",
"Bright Scholar (BCS) Management Limited","Bournemouth",,"Independent school","Student Sponsor","Student",
"Brighton & Hove Montessori School","Brighton",,"Independent school","Student Sponsor","Child Student",
"Brighton College","Brighton",,"Independent school","Student Sponsor","Child Student",
"Brighton College","Brighton",,"Independent school","Student Sponsor","Student",
"Brighton Girls GDST","Brighton",,"Independent school","Student Sponsor","Child Student",
"Bristol Baptist College","Bristol",,"Private provider","Student Sponsor","Student",
"Bristol Grammar School","Bristol",,"Independent school","Student Sponsor","Child Student",
"Bristol Grammar School","Bristol",,"Independent school","Student Sponsor","Student",
"BRISTOL OLD VIC THEATRE SCHOOL LTD","BRISTOL",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"British School of Marketing International","Bournemouth",,"Private provider","Student Sponsor","Student",
"British Union Conference of Seventh-day ADventists","Watford",,"Independent school","Student Sponsor","Child Student",
"Brockenhurst College","Brockenhurst",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Brockhurst & Marlston House School","Newbury",,"Independent school","Student Sponsor","Child Student",
"Bromley High School","Bromley",,"Independent school","Probationary Sponsor","Student",
"Bromsgrove School","Bromsgrove",,"Independent school","Student Sponsor","Child Student",
"Bromsgrove School","Bromsgrove",,"Independent school","Student Sponsor","Student",
"Brookes Education Ltd","Bury St Edmunds",,"Independent school","Student Sponsor","Child Student",
"Brunel University London","Uxbridge","London Brunel International College (Embedded College)","Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Bryanston School Incorporated","Blandford",,"Independent school","Student Sponsor","Child Student",
"Bryanston School Incorporated","Blandford",,"Independent school","Student Sponsor","Student",
"BSC Education Ltd","London",,"Private provider","Student Sponsor","Student",
"Buckinghamshire New University","High Wycombe",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Buckswood School","Near Hastings",,"Independent school","Student Sponsor","Child Student",
"Buckswood School","Near Hastings",,"Independent school","Student Sponsor","Student",
"Burgess Hill School for Girls","Burgess Hill",,"Independent school","Student Sponsor","Child Student",
"Burgess Hill School for Girls","Burgess Hill",,"Independent school","Student Sponsor","Student",
"Burlington House School Limited","London",,"Independent school","Probationary Sponsor","Child Student",
"Burton Hathow Preparatory School","Lincoln",,"Independent school","Probationary Sponsor","Child Student",
"CAE Oxford Aviation Academy","Oxford",,"Private provider","Student Sponsor","Student",
"Caldicott Trust Ltd","Farnham Royal",,"Independent school","Student Sponsor","Child Student",
"Caldicott Trust Ltd","Farnham Royal",,"Independent school","Student Sponsor","Student",
"Cambridge Arts & Sciences","Cambridge",,"Independent school","Student Sponsor - Track Record","Child Student",
"Cambridge Arts & Sciences","Cambridge",,"Independent school","Student Sponsor - Track Record","Student",
"Cambridge International School Limited","Cambridge",,"Independent school","Student Sponsor","Child Student",
"Cambridge Regional College","Cambridge",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Cambridge Seminars College","Cambridge",,"Private provider","Student Sponsor","Student",
"Cambridge Stoke College Limited","Sudbury",,"Independent school","Student Sponsor","Child Student",
"Cambridge Stoke College Limited","Sudbury",,"Independent school","Student Sponsor","Student",
"Cambridge Theological Federation","Cambridge",,"Private provider","Student Sponsor - Track Record","Student",
"Cambridge Tutors College","Surbiton",,"Independent school","Student Sponsor","Child Student",
"Cambridge Tutors College","Surbiton",,"Independent school","Student Sponsor","Student",
"Campbell College","Belfast",,"Independent school","Student Sponsor","Child Student",
"Campbell College","Belfast",,"Independent school","Student Sponsor","Student",
"Canford School","Wimborne",,"Independent school","Student Sponsor","Child Student",
"Canford School","Wimborne",,"Independent school","Student Sponsor","Student",
"Canterbury Christ Church University","Canterbury",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"CAPA The Global Education Network Ltd.","London",,"Private provider","Student Sponsor","Student",
"Cardiff and Vale College","Cardiff",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Cardiff Metropolitan University","Cardiff",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Cardiff Steiner Early Years Centre Ltd","Cardiff",,"Independent school","Student Sponsor","Child Student",
"Cardiff University","Cardiff",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Carfax College","London",,"Independent school","Student Sponsor","Child Student",
"Carfax College","London",,"Independent school","Student Sponsor","Student",
"Cargilfield School","Edinburgh",,"Independent school","Student Sponsor","Child Student",
"Castle School Pembrokeshire Ltd","Haverfordwest",,"Independent school","Student Sponsor","Child Student",
"Caterham School Ltd","Caterham",,"Independent school","Student Sponsor","Child Student",
"Caterham School Ltd","Caterham",,"Independent school","Student Sponsor","Student",
"CATS Canterbury (T/A The Worthgate School)","Canterbury",,"Independent school","Student Sponsor","Child Student",
"CATS Canterbury (T/A The Worthgate School)","Canterbury",,"Independent school","Student Sponsor","Student",
"CEG UFP Limited","Various","ONCAMPUS Hull / ONCAMPUS London / ONCAMPUS LSB / ONCAMPUS Reading / ONCAMPUS Sunderland / ONCAMPUS UK North / ONCAMPUS Aston / ONCAMPUS Southampton / ONCAMPUS Loughborough","Private provider","Student Sponsor - Track Record","Student",
"Central Film School London","London",,"Private provider","Student Sponsor - Track Record","Student",
"Central School of Ballet","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Centre for Medieval & Renaissance Studies","Oxford",,"Overseas Higher Education Institution","Student Sponsor","Student",
"Chafyn Grove School","Salisbury",,"Independent school","Student Sponsor","Child Student",
"Channing School","London",,"Independent school","Student Sponsor","Child Student",
"Channing School","London",,"Independent school","Student Sponsor","Student",
"Charterhouse","Godalming",,"Independent school","Student Sponsor","Child Student",
"Charterhouse","Godalming",,"Independent school","Student Sponsor","Student",
"Chase Grammar School","Cannock",,"Independent school","Student Sponsor","Child Student",
"Chase Grammar School","Cannock",,"Independent school","Student Sponsor","Student",
"Cheam School Educational Trust","Thatcham",,"Independent school","Student Sponsor","Child Student",
"Cheltenham College","Cheltenham",,"Independent school","Student Sponsor","Child Student",
"Cheltenham College","Cheltenham",,"Independent school","Student Sponsor","Student",
"Cherwell College Oxford Ltd","Oxford",,"Independent school","Student Sponsor","Child Student",
"Cherwell College Oxford Ltd","Oxford",,"Independent school","Student Sponsor","Student",
"Cheshire College South & West","Crewe",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Chetham's School of Music","Manchester",,"Independent school","Student Sponsor","Child Student",
"Chetham's School of Music","Manchester",,"Independent school","Student Sponsor","Student",
"CHICHESTER COLLEGE GROUP","CHICHESTER",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Chigwell School","Chigwell",,"Independent school","Student Sponsor","Child Student",
"Chigwell School","Chigwell",,"Independent school","Student Sponsor","Student",
"Chippendale School of Furniture","HADDINGTON",,"Private provider","Student Sponsor - Track Record","Student",
"Christ Church Cathedral School","Oxford",,"Independent school","Student Sponsor","Child Student",
"Christ College","Brecon",,"Independent school","Student Sponsor","Child Student",
"Christ College","Brecon",,"Independent school","Student Sponsor","Student",
"Christ's Hospital","Horsham",,"Independent school","Student Sponsor","Child Student",
"Christ's Hospital","Horsham",,"Independent school","Student Sponsor","Student",
"CIEE Study Abroad London Ltd","Belfast",,"Private provider","Student Sponsor","Student",
"City & Guilds of London Art School","London",,"Private provider","Student Sponsor - Track Record","Student",
"City College Norwich","Norwich",,"Publicly funded college","Student Sponsor","Student",
"City College Plymouth","Plymouth",,"Publicly funded college","Student Sponsor - Track Record","Student",
"City of Glasgow College","Glasgow",,"Publicly funded college","Student Sponsor - Track Record","Student",
"City of London Corporation","London",,"Independent school","Student Sponsor","Child Student",
"City of London Corporation","London",,"Independent school","Student Sponsor","Student",
"City of Wolverhampton College","Wolverhampton",,"Publicly funded college","Student Sponsor","Student",
"City, University of London","London","INTO City University (Embedded College)","Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Claremont School (St Leonards) Ltd","Bodiam",,"Independent school","Student Sponsor","Child Student",
"Claremont School (St Leonards) Ltd","Bodiam",,"Independent school","Student Sponsor","Student",
"CLAYESMORE SCHOOL LIMITED","BLANDFORD",,"Independent school","Student Sponsor","Child Student",
"CLAYESMORE SCHOOL LIMITED","BLANDFORD",,"Independent school","Student Sponsor","Student",
"Cliff College","Hope Valley",,"Private provider","Student Sponsor - Track Record","Student",
"Clifton College","Bristol",,"Independent school","Student Sponsor","Child Student",
"Clifton College","Bristol",,"Independent school","Student Sponsor","Student",
"Clifton Hall School Ltd","Edinburgh",,"Independent school","Student Sponsor","Child Student",
"Clifton High School","Bristol",,"Independent school","Student Sponsor","Child Student",
"Clifton High School","Bristol",,"Independent school","Student Sponsor","Student",
"Cobham Hall","Cobham",,"Independent school","Student Sponsor","Child Student",
"Cognita Schools Limited","London",,"Independent school","Student Sponsor","Child Student",
"Cognita Schools Limited","London",,"Independent school","Student Sponsor","Student",
"Cokethorpe School","Witney",,"Independent school","Student Sponsor","Child Student",
"Cokethorpe School","Witney",,"Independent school","Student Sponsor","Student",
"Colchester Institute","Colchester",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Coleg Gwent","Usk",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Coleg Llanymddyfri Cymru","Llandovery",,"Independent school","Student Sponsor","Child Student",
"Coleg Llanymddyfri Cymru","Llandovery",,"Independent school","Student Sponsor","Student",
"Coleg Sir Gar","Llanelli",,"Publicly funded college","Student Sponsor - Track Record","Student",
"College of Integrated Chinese Medicine","Reading",,"Higher Education Institution (HEI)","Student Sponsor","Student",
"Collingham Independent GCSE & Sixth Form College","London",,"Independent school","Student Sponsor","Child Student",
"Collingham Independent GCSE & Sixth Form College","London",,"Independent school","Student Sponsor","Student",
"Contemporary Dance Trust","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Copthorne School Trust Limited","Copthorne",,"Independent school","Probationary Sponsor","Child Student",
"Corporation of the High School of Dundee","Dundee",,"Independent school","Student Sponsor","Child Student",
"Cottesmore School Limited","Pease Pottage",,"Independent school","Student Sponsor","Child Student",
"Courtauld Institute of Art","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Coventry University","Coventry",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Cranfield University","Bedford",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Cranford House School Trust Ltd","Nr Wallingford",,"Independent school","Student Sponsor","Child Student",
"Cranleigh School","Cranleigh",,"Independent school","Student Sponsor","Child Student",
"Crosfields School Trust Limited","Reading",,"Independent school","Student Sponsor","Child Student",
"Croydon College","Croydon",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Croydon High School","Croydon",,"Independent school","Student Sponsor","Child Student",
"Croydon High School","Croydon",,"Independent school","Student Sponsor","Student",
"Croydon Metropolitan College","Croydon",,"Independent school","Student Sponsor","Child Student",
"Croydon Metropolitan College","Croydon",,"Independent school","Student Sponsor","Student",
"Culford School","Bury St Edmunds",,"Independent school","Student Sponsor","Child Student",
"Culford School","Bury St Edmunds",,"Independent school","Student Sponsor","Student",
"Cumnor House School Trust","HAYWARDS HEATH",,"Independent school","Probationary Sponsor","Child Student",
"Cundall Manor School","York",,"Independent school","Student Sponsor","Child Student",
"Dame Allans Schools","Newcastle upon Tyne",,"Independent school","Student Sponsor","Child Student",
"Dauntsey's School","Devizes",,"Independent school","Student Sponsor","Child Student",
"Dauntsey's School","Devizes",,"Independent school","Student Sponsor","Student",
"David Game College Ltd","London",,"Independent school","Student Sponsor - Track Record","Child Student",
"David Game College Ltd","London",,"Independent school","Student Sponsor - Track Record","Student",
"De Montfort University","Leicester","Leicester International Pathway College (Embedded College)","Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Denstone College","Uttoxeter",,"Independent school","Student Sponsor","Child Student",
"Denstone College","Uttoxeter",,"Independent school","Student Sponsor","Student",
"Derby College Group (DCG)","Derby",,"Publicly funded college","Student Sponsor","Student",
"Derby High School","Derby",,"Independent school","Probationary Sponsor","Child Student",
"Derby High School","Derby",,"Independent school","Probationary Sponsor","Student",
"DLD College London","London",,"Independent school","Student Sponsor","Child Student",
"DLD College London","London",,"Independent school","Student Sponsor","Student",
"DN Colleges Group","Doncaster",,"Publicly funded college","Student Sponsor","Student",
"Dollar Academy","Dollar",,"Independent school","Student Sponsor - Track Record","Child Student",
"Dollar Academy","Dollar",,"Independent school","Student Sponsor - Track Record","Student",
"Dolphin School Limited","Reading",,"Independent school","Student Sponsor","Child Student",
"DOREEN BIRD COLLEGE OF PERFORMING ARTS","SIDCUP",,"Private provider","Student Sponsor - Track Record","Student",
"Dover College","Dover",,"Independent school","Student Sponsor","Child Student",
"Dover College","Dover",,"Independent school","Student Sponsor","Student",
"d'Overbroeck's College","Oxford",,"Independent school","Student Sponsor","Child Student",
"d'Overbroeck's College","Oxford",,"Independent school","Student Sponsor","Student",
"Downe House School","Thatcham",,"Independent school","Student Sponsor","Child Student",
"Downe House School","Thatcham",,"Independent school","Student Sponsor","Student",
"Downside School","Radstock",,"Independent school","Student Sponsor","Child Student",
"Dragon School Trust Ltd","Oxford",,"Independent school","Student Sponsor","Child Student",
"Dukes Education","Various","RIC Trading Ltd t/a Rochester Independent College / Fine Arts College+Earlscliffe / Cardiff Sixth Form College","Independent school","Student Sponsor","Child Student",
"Dukes Education","Various","RIC Trading Ltd t/a Rochester Independent College / Fine Arts College+Earlscliffe / Cardiff Sixth Form College","Independent school","Student Sponsor","Student",
"Dulwich College","London",,"Independent school","Student Sponsor","Child Student",
"Dulwich College","London",,"Independent school","Student Sponsor","Student",
"Dumfries & Galloway College","Dumfries",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Dundee and Angus College","Dundee",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Durham Cathedral Schools Foundation","Durham",,"Independent school","Student Sponsor","Child Student",
"Durham High School for Girls","Durham",,"Independent school","Student Sponsor","Child Student",
"Durham High School for Girls","Durham",,"Independent school","Student Sponsor","Student",
"Dwight School London","London",,"Independent school","Student Sponsor","Child Student",
"Dwight School London","London",,"Independent school","Student Sponsor","Student",
"Ealing Independent College","Ealing",,"Independent school","Student Sponsor","Child Student",
"Ealing Independent College","Ealing",,"Independent school","Student Sponsor","Student",
"Earlscliffe","Kent",,"Independent school","Student Sponsor","Child Student",
"Earlscliffe","Kent",,"Independent school","Student Sponsor","Student",
"East Sussex College Group","St Leonards-on-Sea",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Eastbourne College","Eastbourne",,"Independent school","Student Sponsor","Child Student",
"Eastbourne College","Eastbourne",,"Independent school","Student Sponsor","Student",
"Eaton House Schools","London",,"Independent school","Student Sponsor","Child Student",
"Eaton Square School","London",,"Independent school","Student Sponsor","Child Student",
"Edgbaston High School","Birmingham",,"Independent school","Student Sponsor","Child Student",
"Edge Grove School Trust Ltd","Aldenham Village",,"Independent school","Student Sponsor","Child Student",
